"POSITION/ORDER#","B/S","UNITS","AMOUNT","PRICE","CONVERSION RATE","MARGIN","TOTAL PERF. P&L - %","TOTAL PERF. P&L - pts.","TOTAL P&L","STOP LOSS","TAKE PROFIT","SELL","BUY"
"Bit Digital Inc","B","6.25","20.38","3.680","0.88673","5.82","-4.84%","17","-0.94","-","-","3.510","3.520"
"O2-9P-6JT4ED / 14:30","B","6.25","20.38","3.680"," "," ","-4.84%","17","-0.94","-","-","3.510","3.520"
"Copper - Cash","B","1,000","4,018.67","454.36","0.88673","398.34","-0.66%","30","-26.60","-","-","451.36","451.56"
"O2-9P-6JT498 / 21 Feb 2022","B","1,000","4,018.67","454.36"," "," ","-0.66%","30","-26.60","-","-","451.36","451.56"
"Euro Bobl - Cash","B","1","131.58","131.585","-","26.26","-0.25%","33.2","-0.33","-","-","131.253","131.273"
"O2-9P-6JT4J4 / 21 Feb 2022","B","1","131.58","131.585"," "," ","-0.25%","33.2","-0.33","-","-","131.253","131.273"
"Eurodollar - Cash","B","99.38","8,736.85","99.397","0.88673","1,742.38","-0.04%","4.8","-4.22","-","-","99.349","99.359"
"O2-9P-6JT4HF / 21 Feb 2022","B","99.38","8,736.85","99.397"," "," ","-0.04%","4.8","-4.22","-","-","99.349","99.359"
"Fairwood Holdings Ltd","B","1,000","1,759.71","15.520","0.113661","350.37","-0.25%","4","-4.54","-","-","15.480","15.500"
"O2-9P-6JT4DT / 21 Feb 2022","B","1,000","1,759.71","15.520"," "," ","-0.25%","4","-4.54","-","-","15.480","15.500"
"UK 100 - Cash","B","1","9,074.82","7,532.66","1.20537","447.44","-0.97%","72.54","-87.43","-","7,683.37","7,460.12","7,462.12"
"O2-9P-6JT2B0 / 21 Feb 2022","B","1","9,074.82","7,532.66"," "," ","-0.97%","72.54","-87.43","-","7,683.37","7,460.12","7,462.12"
"US T-Note 5 YR - Cash","B","100","10,463.19","118.295","0.88673","2,085.99","-0.07%","9.2","-8.15","-","-","118.203","118.218"
"O2-9P-6JT4GD / 21 Feb 2022","B","100","10,463.19","118.295"," "," ","-0.07%","9.2","-8.15","-","-","118.203","118.218"
"US T-Bond - Cash","B","1","135.71","153.440","0.87791","27.14","0.21%","33","0.28","-","-","153.770","153.800"
"O2-9P-6JT4GW / 21 Feb 2022","B","1","135.71","153.440"," "," ","0.21%","33","0.28","-","-","153.770","153.800"
"US T-Note 2 YR - Cash","B","1","95.41","107.873","0.88673","19.02","-0.09%","10.4","-0.09","-","-","107.769","107.784"
"O2-9P-6JT4GN / 21 Feb 2022","B","1","95.41","107.873"," "," ","-0.09%","10.4","-0.09","-","-","107.769","107.784"
"US 30 - Cash","B","5.9998","181,762.83","34,250.78","0.88673","8,899.00","-1.87%","630.99","-3,356.99","-","-","33,619.79","33,621.79"
"O2-9P-6JT3WG / 21 Feb 2022","B","5.9998","181,762.83","34,250.78"," "," ","-1.87%","630.99","-3,356.99","-","-","33,619.79","33,621.79"
"US SPX 500 - Cash","B","11","42,542.09","4,372.37","0.88673","2,087.95","-1.62%","700.3272","-683.10","-","-","4,302.34","4,302.84"
"O2-9P-6JT44D / 21 Feb 2022","B","10","38,675.01","4,372.43"," "," ","-1.62%","700.9","-621.50","-","-","4,302.34","4,302.84"
"O2-9P-6JT43D / 21 Feb 2022","B","1","3,867.07","4,371.80"," "," ","-1.61%","694.6","-61.59","-","-","4,302.34","4,302.84"
"USD/TRY","B","5,000","4,422.50","13.59687","0.06375","220.59","1.18%","1,624.5","51.78","-","-","13.75932","13.78390"
"O2-9P-6JT473 / 21 Feb 2022","B","5,000","4,422.50","13.59687"," "," ","1.18%","1,624.5","51.78","-","-","13.75932","13.78390"
